1,4 Linden Place,Los Angeles,California,90030,999
2,8922 Nancy Parkway,Fairbanks,Alaska,99709,998
3,16436 Sheridan Road,Minneapolis,Minnesota,55407,997
4,2 Village Green Crossing,Washington,District of Columbia,20508,996
5,16877 Magdeline Street,Ogden,Utah,84409,995
6,16 Fairview Junction,Austin,Texas,78715,994
7,72219 Upham Place,Omaha,Nebraska,68105,993
8,3986 Swallow Lane,Washington,District of Columbia,20210,992
9,64 Lerdahl Circle,El Paso,Texas,88519,991
10,4135 Schurz Junction,Topeka,Kansas,66617,990
11,27023 Sullivan Alley,Huntington,West Virginia,25775,989
12,225 Anhalt Plaza,Houston,Texas,77201,988
13,4510 Fuller Park,San Antonio,Texas,78296,987
14,7360 Graceland Court,Birmingham,Alabama,35231,986
15,4 Westend Pass,Milwaukee,Wisconsin,53263,985
16,493 Victoria Hill,Birmingham,Alabama,35244,984
17,2 North Pass,San Diego,California,92132,983
18,50319 Shopko Junction,Tulsa,Oklahoma,74133,982
19,34 Stuart Point,Los Angeles,California,90015,981
20,00 Farwell Hill,Oklahoma City,Oklahoma,73135,980
21,680 Arizona Road,Chicago,Illinois,60619,979
22,9 Elka Street,New York City,New York,10079,978
23,935 Montana Terrace,Anderson,South Carolina,29625,977
24,82677 David Crossing,Charlotte,North Carolina,28247,976
25,356 Vera Parkway,Sacramento,California,94257,975
26,84 Anderson Alley,Cincinnati,Ohio,45296,974
27,5805 Oak Valley Court,Baton Rouge,Louisiana,70805,973
28,5348 Kim Trail,Riverside,California,92505,972
29,762 Hintze Park,Young America,Minnesota,55557,971
30,3 Knutson Pass,Hartford,Connecticut,06152,970
31,7355 Sachs Hill,Grand Rapids,Michigan,49560,969
32,9 Harper Way,Lake Worth,Florida,33467,968
33,82 Warner Alley,Amarillo,Texas,79116,967
34,9511 Pawling Point,Fresno,California,93750,966
35,63352 Manufacturers Park,San Antonio,Texas,78250,965
36,211 Eggendart Circle,Buffalo,New York,14215,964
37,6059 Crescent Oaks Way,El Paso,Texas,88584,963
38,53111 Lindbergh Drive,Denver,Colorado,80279,962
39,01804 Green Ridge Place,Allentown,Pennsylvania,18105,961
40,75105 Ilene Road,Murfreesboro,Tennessee,37131,960
41,35 Mayer Alley,Modesto,California,95397,959
42,5 Warner Drive,Billings,Montana,59105,958
43,4 Kropf Place,Wichita,Kansas,67210,957
44,9 Lakeland Street,Concord,California,94522,956
45,7 Hauk Park,East Saint Louis,Illinois,62205,955
46,2 Mockingbird Court,Orlando,Florida,32825,954
47,92550 Longview Court,Bradenton,Florida,34205,953
48,5 3rd Way,Chicago,Illinois,60674,952
49,17 Service Court,Hattiesburg,Mississippi,39404,951
50,371 2nd Junction,Duluth,Minnesota,55811,950
51,1 Hooker Pass,Spartanburg,South Carolina,29319,949
52,2446 Ohio Terrace,Charleston,West Virginia,25331,948
53,0 Warbler Crossing,Oakland,California,94660,947
54,41 Kenwood Place,Chula Vista,California,91913,946
55,20291 Warner Center,South Lake Tahoe,California,96154,945
56,2 Calypso Terrace,Akron,Ohio,44305,944
57,80568 Spenser Avenue,Saint Petersburg,Florida,33715,943
58,39862 Sycamore Lane,Redwood City,California,94064,942
59,31 Bashford Junction,Dallas,Texas,75216,941
60,4046 Lunder Street,Melbourne,Florida,32919,940
61,94531 Graceland Center,Bronx,New York,10474,939
62,41 Vermont Circle,Virginia Beach,Virginia,23454,938
63,0024 Portage Center,El Paso,Texas,79989,937
64,6 Barby Point,Syracuse,New York,13210,936
65,4498 Sunbrook Plaza,Gulfport,Mississippi,39505,935
66,162 Eliot Way,York,Pennsylvania,17405,934
67,42 Lighthouse Bay Junction,Dayton,Ohio,45454,933
68,53 Butterfield Center,Grand Rapids,Michigan,49544,932
69,893 Badeau Drive,Atlanta,Georgia,30380,931
70,89 Donald Terrace,Albuquerque,New Mexico,87105,930
71,4 Schlimgen Plaza,Kansas City,Missouri,64136,929
72,25509 Red Cloud Way,Washington,District of Columbia,20380,928
73,7 Petterle Park,Des Moines,Iowa,50310,927
74,43393 Lakeland Trail,New York City,New York,10270,926
75,37 Del Sol Court,Hot Springs National Park,Arkansas,71914,925
76,02 Harbort Avenue,North Las Vegas,Nevada,89036,924
77,94 Pond Lane,Colorado Springs,Colorado,80915,923
78,030 Kinsman Point,Winston Salem,North Carolina,27157,922
79,412 Northland Alley,Kansas City,Missouri,64193,921
80,17231 Sutherland Terrace,Reno,Nevada,89505,920
81,854 New Castle Street,North Little Rock,Arkansas,72199,919
82,48 Melvin Center,El Paso,Texas,79945,918
83,1 Bunting Park,New York City,New York,10110,917
84,919 Swallow Place,Atlanta,Georgia,31132,916
85,4 Burning Wood Junction,Duluth,Georgia,30195,915
86,21 Vahlen Court,Sparks,Nevada,89436,914
87,74777 Warbler Circle,Largo,Florida,34643,913
88,89470 Algoma Court,Van Nuys,California,91406,912
89,885 Melby Junction,San Jose,California,95133,911
90,3577 Starling Pass,Austin,Texas,78754,910
91,26 Vidon Road,Philadelphia,Pennsylvania,19184,909
92,799 Jackson Drive,Springfield,Illinois,62711,908
93,9 Texas Parkway,Lawrenceville,Georgia,30045,907
94,8 Hallows Road,Minneapolis,Minnesota,55436,906
95,298 Golden Leaf Circle,Macon,Georgia,31217,905
96,43 Stoughton Parkway,Salt Lake City,Utah,84110,904
97,03 Carpenter Trail,Atlanta,Georgia,30328,903
98,258 Thierer Trail,Houston,Texas,77266,902
99,42856 Browning Road,Athens,Georgia,30610,901
100,98410 Lawn Court,Albuquerque,New Mexico,87190,900
101,259 Eastwood Lane,Shawnee Mission,Kansas,66276,899
102,15 Prairie Rose Junction,South Lake Tahoe,California,96154,898
103,39554 Clove Drive,Fresno,California,93740,897
104,1 Badeau Point,Topeka,Kansas,66622,896
105,219 Granby Terrace,Tyler,Texas,75799,895
106,15928 Jay Avenue,Washington,District of Columbia,56944,894
107,16097 Riverside Junction,Madison,Wisconsin,53716,893
108,9 Springs Pass,Washington,District of Columbia,20016,892
109,18 Norway Maple Park,Santa Monica,California,90410,891
110,4046 Straubel Place,Chicago,Illinois,60636,890
111,3285 East Lane,Saint Louis,Missouri,63126,889
112,707 Manley Circle,Lincoln,Nebraska,68510,888
113,97 Oak Point,Springfield,Illinois,62711,887
114,34124 Crest Line Parkway,Philadelphia,Pennsylvania,19115,886
115,58 Brentwood Lane,Portland,Oregon,97255,885
116,25434 Summerview Park,Huntington,West Virginia,25726,884
117,49 Upham Way,Huntington,West Virginia,25709,883
118,25555 Spaight Trail,Wichita,Kansas,67215,882
119,14908 Mayfield Center,Denton,Texas,76205,881
120,56 Buell Terrace,Erie,Pennsylvania,16522,880
121,138 Commercial Center,New York City,New York,10260,879
122,15 Manley Lane,Salem,Oregon,97312,878
123,3206 Cascade Center,Columbus,Ohio,43220,877
124,4208 Thierer Drive,Falls Church,Virginia,22047,876
125,05324 Daystar Road,Kansas City,Kansas,66112,875
126,0751 Spohn Pass,Nashville,Tennessee,37250,874
127,42663 Express Pass,Bradenton,Florida,34205,873
128,96639 Kingsford Road,Saint Louis,Missouri,63131,872
129,5208 Arrowood Avenue,Fort Wayne,Indiana,46825,871
130,1964 5th Crossing,Philadelphia,Pennsylvania,19146,870
131,83528 Calypso Court,Miami,Florida,33175,869
132,3206 Johnson Park,Dearborn,Michigan,48126,868
133,1 Lighthouse Bay Way,Fort Lauderdale,Florida,33336,867
134,7737 Becker Street,Mount Vernon,New York,10557,866
135,8 Pawling Pass,Boise,Idaho,83732,865
136,09 Anniversary Place,Winter Haven,Florida,33884,864
137,35 Reindahl Street,Omaha,Nebraska,68164,863
138,5 1st Hill,Fort Wayne,Indiana,46852,862
139,1265 Commercial Point,Lubbock,Texas,79452,861
140,86461 Longview Terrace,New Haven,Connecticut,06538,860
