1,56139 Stuart Parkway,Riverside,California,92505,999
2,3044 Fairfield Place,Saint Louis,Missouri,63169,998
3,604 Bayside Way,Bradenton,Florida,34205,997
4,41157 Vera Crossing,Fort Wayne,Indiana,46814,996
5,246 Dorton Hill,Brooksville,Florida,34605,995
6,5 Di Loreto Place,Alhambra,California,91841,994
7,803 Sutteridge Point,Wichita,Kansas,67210,993
8,252 Nevada Road,Brockton,Massachusetts,02305,992
9,47 Hudson Lane,Miami,Florida,33142,991
10,321 Bowman Plaza,Decatur,Georgia,30033,990
11,36838 Buhler Terrace,Nashville,Tennessee,37240,989
12,565 Welch Hill,Nashville,Tennessee,37210,988
13,27880 La Follette Way,Chattanooga,Tennessee,37450,987
14,879 Farragut Place,Mountain View,California,94042,986
15,0637 Miller Drive,Scottsdale,Arizona,85271,985
16,7893 Grover Junction,Philadelphia,Pennsylvania,19160,984
17,60649 Heffernan Point,Washington,District of Columbia,20520,983
18,95 Melrose Parkway,Portland,Oregon,97286,982
19,86303 Bobwhite Trail,Detroit,Michigan,48242,981
20,5265 Westport Way,Washington,District of Columbia,20022,980
21,81 Alpine Drive,Evansville,Indiana,47732,979
22,16 Daystar Parkway,Memphis,Tennessee,38126,978
23,9422 Division Terrace,Atlanta,Georgia,30343,977
24,5 Kipling Terrace,Dallas,Texas,75236,976
25,97563 Harbort Alley,Charleston,West Virginia,25331,975
26,12476 Cottonwood Terrace,Wilmington,Delaware,19886,974
27,134 Warrior Alley,Austin,Texas,78759,973
28,90961 Derek Terrace,San Antonio,Texas,78230,972
29,56509 Summit Alley,Tucson,Arizona,85743,971
30,3032 Bunker Hill Plaza,El Paso,Texas,79923,970
31,5 Sage Trail,Provo,Utah,84605,969
32,802 Pennsylvania Way,Honolulu,Hawaii,96805,968
33,328 Leroy Circle,Charlotte,North Carolina,28263,967
34,75 Anthes Center,Arlington,Virginia,22225,966
35,4131 Mendota Alley,Silver Spring,Maryland,20918,965
36,717 Elgar Terrace,New Orleans,Louisiana,70187,964
37,66 Tomscot Drive,Springfield,Virginia,22156,963
38,0570 Banding Plaza,Cincinnati,Ohio,45208,962
39,1674 Melvin Parkway,Denver,Colorado,80249,961
40,81448 Hoepker Alley,Fort Worth,Texas,76129,960
41,36 Mandrake Hill,Columbia,Missouri,65218,959
42,7322 Riverside Plaza,Baton Rouge,Louisiana,70836,958
43,9 Gale Pass,Omaha,Nebraska,68197,957
44,5373 Northridge Plaza,Jefferson City,Missouri,65105,956
45,83 Banding Road,Fort Worth,Texas,76129,955
46,796 Charing Cross Alley,Grand Rapids,Michigan,49560,954
47,5482 Marcy Avenue,Dayton,Ohio,45432,953
48,9632 Morrow Avenue,Aurora,Colorado,80015,952
49,36925 Crownhardt Park,Louisville,Kentucky,40210,951
50,77 Pine View Way,Springfield,Illinois,62705,950
51,648 Vidon Parkway,Salt Lake City,Utah,84115,949
52,10 Cambridge Parkway,Washington,District of Columbia,20244,948
53,8874 Killdeer Hill,South Bend,Indiana,46634,947
54,5 Saint Paul Drive,Portland,Oregon,97286,946
55,416 Mariners Cove Crossing,Irvine,California,92619,945
56,70917 Lakewood Gardens Drive,Arlington,Texas,76096,944
57,40311 Gulseth Street,Albuquerque,New Mexico,87190,943
58,3 Donald Trail,Syracuse,New York,13224,942
59,59132 Corscot Hill,New York City,New York,10203,941
60,705 Shelley Street,Tacoma,Washington,98481,940
61,1756 South Parkway,Alexandria,Louisiana,71307,939
62,3 Briar Crest Court,Los Angeles,California,90060,938
63,55139 Pond Place,Lansing,Michigan,48919,937
64,35975 4th Alley,Huntsville,Texas,77343,936
